,PR,NPC,POLY,EBR
0,55,7,7.425893033353069,0.0
1,43,10,6.247043539091909,0.012499999999999956
2,57,8,6.809355229947225,0.0
3,48,9,5.199713525680377,0.0
4,48,9,5.031124264290227,0.0
5,50,12,5.63733847810481,0.0
6,52,7,5.470948815622401,0.0
7,55,9,6.04644574741419,0.0
8,67,8,5.709533644961409,0.0
9,34,12,3.9314573339639214,0.012499999999999956
10,50,8,2.8026989499262345,0.013513513513513487
11,49,8,4.936533589586792,0.0
12,52,7,3.500483006937736,0.0
13,50,8,3.7882139983909897,0.0
14,50,9,4.086482889067918,0.013157894736842146
15,45,9,5.550144394854293,0.0
16,59,8,4.863853538736325,0.01666666666666672
17,60,8,5.809815310771799,0.0
18,36,9,3.7326205133743744,0.0
19,48,10,4.146436961628818,0.0
20,53,11,2.526170993227991,0.012499999999999956
21,49,9,4.96601131746953,0.013513513513513487
22,43,11,4.0410963411424055,0.0
23,60,8,6.82150466045273,0.012499999999999956
24,68,10,7.263582966226138,0.01666666666666672
25,55,10,7.716052610935335,0.0
26,40,9,6.658294981371904,0.0
27,48,7,7.982924679225571,0.0
28,51,8,4.097649186256781,0.0
29,60,7,6.589664814111637,0.012987012987012991
30,57,9,5.8129485864948,0.0
31,55,10,6.2663637560911365,0.0
32,69,7,8.450952994345348,0.0
33,64,10,7.023661507231667,0.0
34,55,8,3.813179285779523,0.016949152542372836
35,48,7,4.780296385208439,0.01666666666666672
36,56,7,6.530313080392677,0.0
37,48,8,6.780240940061223,0.0
38,56,6,5.98150002176468,0.0
39,67,7,6.5448759791122715,0.0
40,51,9,7.096032950357685,0.0
41,62,9,6.054983671730796,0.0
42,62,8,5.821920991479473,0.0
43,62,12,6.67116703187955,0.0
44,55,7,7.198832887787703,0.0
45,51,7,4.998088718997244,0.01666666666666672
46,57,8,6.530386740331492,0.0
47,57,9,7.4976452119309265,0.0
48,53,8,8.09269479814002,0.0
49,50,7,4.633257326805714,0.0
50,43,7,6.121518636552584,0.050000000000000044
51,34,6,4.134346861542477,0.0
52,55,8,6.20059456398641,0.0
53,56,8,6.210035645736221,0.0
54,58,9,3.205719487218387,0.0
55,76,11,4.866325684268731,0.01666666666666672
56,72,10,4.4586357843408875,0.0
57,51,10,5.214254378564438,0.0
58,57,10,3.7536469730124,0.013333333333333308
59,40,8,4.139722307389076,0.0
60,75,12,6.660771650935585,0.012499999999999956
61,79,8,7.0656415654723865,0.0
62,67,9,6.475092205556922,0.018181818181818188
63,74,12,7.924898776611955,0.0
64,70,7,6.607917691791545,0.0
65,74,12,6.78847199564981,0.0
66,51,11,5.201037551758603,0.0
67,67,11,6.575076908052151,0.0
68,53,10,6.520357410097275,0.0
69,74,12,5.915246358847226,0.0
70,45,9,5.114933386359117,0.012499999999999956
71,46,9,4.872648020341446,0.0
72,55,8,6.457203777033201,0.0
73,45,8,5.024548319794025,0.01666666666666672
74,58,12,3.860746110859387,0.013157894736842146
75,36,9,5.2843003412969285,0.012820512820512775
76,38,7,5.259331762832211,0.0
77,43,7,4.555078203665167,0.0
78,41,7,4.565522027960472,0.0
79,50,7,5.760080382075841,0.0
80,50,10,6.376188987630063,0.01666666666666672
81,43,11,4.904812588096539,0.0
82,41,9,5.573657300179172,0.0
83,52,9,6.147427456717874,0.0
84,43,9,6.77527937230393,0.0
85,73,10,6.623413705583756,0.0
86,77,9,7.474630525097051,0.0
87,69,7,7.21582829719161,0.0
88,72,7,5.923883431024519,0.0
89,74,9,8.353234320186223,0.0
90,60,8,8.21779064365105,0.0
91,70,9,7.33156287345638,0.0
92,74,12,6.942700924608819,0.0
93,74,12,3.789091165678803,0.0
94,72,10,6.87440164960601,0.0
95,51,7,6.275697872526321,0.0
96,53,7,6.162647712902804,0.0
97,56,9,6.947578917297529,0.0
98,65,11,6.435098879822984,0.0
99,66,10,6.229006604663701,0.0
100,57,8,5.830674976233231,0.010000000000000009
101,58,7,6.074282312475195,0.0
102,78,11,5.341048750512085,0.0
103,57,8,7.832075639204546,0.0
104,69,12,7.917346609505371,0.0
105,60,10,7.36518695729222,0.0
106,40,7,5.69494703598921,0.0
107,47,7,6.087533699621199,0.0
108,47,7,5.673552244133131,0.01666666666666672
109,47,7,6.06224497100723,0.0
110,69,7,8.579382872049893,0.0
111,58,8,6.602405313229223,0.0
112,72,8,6.876469043398332,0.0
113,57,9,6.617919576429777,0.0
114,75,10,9.414504587558717,0.0
115,72,8,6.943578571029551,0.020408163265306145
116,39,7,1.5867227098528867,0.0
117,41,11,2.284670927047888,0.0
118,67,7,4.983441373056125,0.0
119,72,9,6.265704584040747,0.0
120,43,10,5.142501919771822,0.027027027027026973
121,43,10,5.6205499150289775,0.0
122,43,10,5.741553282002601,0.0
123,41,11,5.16822704769374,0.0
124,65,11,10.70173646578141,0.0
125,72,11,4.649239163079387,0.008620689655172376
126,50,7,4.445000565546884,0.0
127,57,9,4.906761098130841,0.0
128,43,7,6.103065914798844,0.0
129,51,7,5.369776962168267,0.06329113924050633
130,53,7,5.088522588522588,0.0
131,70,7,5.300796747434342,0.0
132,64,9,5.810948550825128,0.0
133,60,8,7.1900026606358916,0.0
134,55,9,7.807954062101233,0.0
135,73,10,6.885854556612458,0.0
136,64,8,9.29098427910335,0.0
137,72,8,10.200748239436619,0.0
138,75,7,9.92106464870507,0.0
139,49,8,6.666514091414372,0.0
140,41,7,7.59724174867778,0.0
141,60,7,8.837670465775084,0.0
142,45,7,4.468502115282919,0.012499999999999956
143,53,7,4.206729021383482,0.012499999999999956
144,51,7,4.7481543329231854,0.0
145,68,9,5.165259134145257,0.0
146,70,11,6.988877621119435,0.0
147,69,8,6.598051539912005,0.0
148,64,7,13.748174230568596,0.0
149,52,10,5.930507248872206,0.0
150,57,8,6.397833086763554,0.0
151,48,8,5.224738388406562,0.0
152,47,9,5.669765856982914,0.0
153,48,8,6.404619096863151,0.012820512820512775
154,67,9,11.01329108353138,0.0
155,55,9,4.876847508629083,0.0
