,PR,NPC,POLY,EBR
0,46,12,5.417910447761194,0.09999999999999998
1,48,12,4.26309303758472,0.14340344168260033
2,50,12,4.185,0.16538461538461535
3,50,12,3.750975800156128,0.14663461538461542
4,47,12,3.638888888888889,0.09482758620689657
5,50,12,4.462393721386527,0.10593220338983056
6,46,12,4.326063829787234,0.10839160839160844
7,45,11,3.647727272727273,0.28301886792452835
8,49,12,3.988372093023256,0.1132075471698113
9,28,8,5.266666666666667,0.5789473684210527
10,46,12,4.827374301675977,0.0684410646387833
11,50,12,3.9411177644710578,0.16699801192842945
