,PR,NPC,POLY,EBR
0,44,11,1.9440105929971863,0.0
1,31,11,2.3828125,0.0
2,50,12,2.158299884532908,0.054545454545454564
3,22,11,1.9642857142857142,0.0
4,55,11,1.7857344521998275,0.0
5,29,11,3.3359375,0.0
6,47,12,1.9955310199789695,0.0
7,57,11,4.791666666666667,0.0
8,80,11,3.784939236111111,0.0
9,57,12,2.000307680681432,0.0
10,44,12,1.7625045142650777,0.0
11,45,12,4.983258928571429,0.0
12,31,12,3.379360465116279,0.0
13,33,12,2.0,0.0
14,31,11,3.3484848484848486,0.0
15,28,12,2.7399193548387095,0.0
16,36,12,1.7750325097529258,0.0
17,29,10,2.9278846153846154,0.0
18,20,12,2.401315789473684,0.0
19,39,12,2.0460992907801416,0.0
20,46,12,2.498896247240618,0.0
21,60,11,2.164110429447853,0.0
22,97,12,4.093615494978479,0.0
23,47,12,2.9408212560386473,0.0
24,72,12,4.336375280179315,0.0
25,68,12,4.796739130434783,0.0
26,38,8,2.7759740259740258,0.0
27,62,12,3.057293381626605,0.0038610038610038533
28,71,11,4.551245182620264,0.0018348623853210455
29,51,8,3.709835229148534,0.0
30,44,12,2.473977695167286,0.0
31,50,9,2.7575736325385694,0.006472491909385147
32,74,12,3.1895539906103285,0.0
33,47,11,3.044207317073171,0.0
34,41,12,2.7170542635658914,0.0
35,53,12,7.643304914744233,0.0
36,41,7,1.6882334572340918,0.0
37,74,10,1.4849100599600267,0.0
38,53,8,2.328801453543011,0.0
39,48,10,1.807621053700132,0.0
40,36,12,1.9739889705882352,0.0
41,38,11,1.8515625,0.0
42,20,12,1.7857142857142858,0.06382978723404253
43,37,12,2.611111111111111,0.0
44,25,11,1.984375,0.0
45,60,12,3.29,0.0
46,29,11,1.9583333333333333,0.05769230769230771
47,66,12,4.375433268411844,0.003076923076923088
48,48,11,3.2854235563469856,0.0
49,50,11,3.3935139052450403,0.06904231625835189
50,58,10,4.106299212598425,0.0
51,48,10,3.2237743806009487,0.0
52,51,12,4.290287832861544,0.0
53,39,11,2.270576401644363,0.0
54,38,10,4.265481651376147,0.0
55,51,12,2.6966833512653787,0.0
56,50,12,1.7776818476149363,0.0
57,40,7,1.9074287796877847,0.11519607843137258
58,41,11,3.180549822504747,0.0
59,49,8,1.9137719154514172,0.0
60,58,12,2.0219759840511844,0.05714285714285716
61,40,12,3.469579255372818,0.0
62,38,9,1.894008918761714,0.0
63,43,12,4.585499490316004,0.0
64,49,12,2.53125,0.0
65,44,12,2.5554583068109484,0.0035842293906810374
66,60,12,2.6017420205145836,0.0
67,46,11,4.54012562879558,0.0
68,35,10,2.370173833485819,0.0
69,49,10,6.232,0.0
70,42,12,5.606869594145043,0.007874015748031482
71,52,10,3.910025119890386,0.0
72,44,11,2.957156162682397,0.03260869565217395
73,41,10,2.4743825538623225,0.0
74,34,11,5.466001945525292,0.0
75,77,12,3.246076214136578,0.01663585951940849
76,62,12,2.765526154683355,0.0
77,43,11,1.801998183469573,0.10062893081761004
78,65,10,3.2030905077262695,0.0
79,46,11,2.0384710478168424,0.05833333333333335
80,47,8,1.6311071268489468,0.03431372549019607
81,39,11,2.1329642323578524,0.0
82,32,11,4.20151914431871,0.0
83,55,11,2.8428996598639458,0.0
84,44,12,4.942330210772834,0.0
85,46,10,1.8968253968253967,0.0
86,50,11,2.8441973415132926,0.011363636363636354
87,45,12,2.020357842827338,0.0
88,12,8,1.0,0.30000000000000004
89,41,12,2.770350539613486,0.00917431192660545
90,40,11,4.153726975383027,0.0
91,41,8,3.766826277279982,0.044117647058823484
92,37,11,2.2512216360927795,0.014388489208633115
93,37,8,2.0759844703272323,0.0
94,40,8,2.085526315789474,0.0
95,72,12,3.036837305314664,0.0
96,32,11,3.2077804035629884,0.0
97,62,12,3.12181737281851,0.0034602076124568004
98,43,10,2.7170036964557513,0.0
99,45,9,3.2304204451772467,0.004784688995215336
100,51,12,3.5768989515815885,0.0
101,46,9,4.413477168612384,0.0
102,67,12,2.07256329728561,0.003676470588235281
103,48,9,2.3566574881798057,0.0
104,47,11,3.0406607994493338,0.0625
105,60,10,4.482954545454546,0.0
106,49,10,2.317253630590221,0.0
107,39,9,2.1955336849306,0.0
108,49,10,2.878784644884554,0.02960526315789469
109,49,12,3.894468546637744,0.0
110,32,12,2.5341685649202734,0.0
111,33,11,1.9325167464114832,0.025380710659898442
112,45,8,1.8540407432281174,0.02083333333333337
113,55,10,4.297703203777309,0.0
114,36,5,2.5735948669531203,0.0357142857142857
115,84,11,2.4533453002610965,0.008230452674897082
116,76,12,3.094951923076923,0.0
117,70,12,3.7993299976995627,0.0
118,69,12,3.8889259228397632,0.0
119,67,12,2.798009488448845,0.0
120,70,8,3.104502688172043,0.020689655172413834
121,73,12,2.6128448855989235,0.0035211267605633756
122,72,10,3.1207553475935828,0.0
123,47,8,2.2716771092524306,0.0
124,67,12,2.157057076446281,0.0
